average value,histogram variance,y axis variance,pressure value ratio as 3,points ratio as 3,target
254.8235294,54030.38062,1.99033507,0.889,0.706,0
258.1388889,54237.67515,2.012862019,0.872,0.667,0
258.1388889,54237.67515,2.012862019,0.872,0.667,0
258.1388889,54237.67515,2.012862019,0.872,0.667,0
258.1388889,54237.67515,2.012862019,0.872,0.667,0
258.1388889,54237.67515,2.012862019,0.872,0.667,0
258.1388889,54237.67515,2.012862019,0.872,0.667,0
258.1388889,54237.67515,2.012862019,0.872,0.667,0
258.1388889,54237.67515,2.012862019,0.872,0.667,0
258.1388889,54237.67515,2.012862019,0.872,0.667,0
258.1388889,54237.67515,2.012862019,0.872,0.667,0
258.1388889,54237.67515,2.012862019,0.872,0.667,0
258.1388889,54237.67515,2.012862019,0.872,0.667,0
258.1388889,54237.67515,2.012862019,0.872,0.667,0
258.1388889,54237.67515,2.012862019,0.872,0.667,0
252.4864865,54356.79036,2.086302145,0.867,0.649,0
252.4864865,54356.79036,2.086302145,0.867,0.649,0
252.4864865,54356.79036,2.086302145,0.867,0.649,0
252.4864865,54356.79036,2.086302145,0.867,0.649,0
252.4864865,54356.79036,2.086302145,0.867,0.649,0
252.4864865,54356.79036,2.086302145,0.867,0.649,0
252.4864865,54356.79036,2.086302145,0.867,0.649,0
252.4864865,54356.79036,2.086302145,0.867,0.649,0
252.4864865,54356.79036,2.086302145,0.867,0.649,0
252.4864865,54356.79036,2.086302145,0.867,0.649,0
252.4864865,54356.79036,2.086302145,0.867,0.649,0
252.4864865,54356.79036,2.086302145,0.867,0.649,0
252.4864865,54356.79036,2.086302145,0.867,0.649,0
252.2432432,54964.18408,2.056335827,0.868,0.649,0
252.2432432,54964.18408,2.056335827,0.868,0.649,0
252.2432432,54964.18408,2.056335827,0.868,0.649,0
252.2432432,54964.18408,2.056335827,0.868,0.649,0
252.2432432,54964.18408,2.056335827,0.868,0.649,0
252.2432432,54964.18408,2.056335827,0.868,0.649,0
252.2432432,54964.18408,2.056335827,0.868,0.649,0
252.2432432,54964.18408,2.056335827,0.868,0.649,0
252.2432432,54964.18408,2.056335827,0.868,0.649,0
252.2432432,54964.18408,2.056335827,0.868,0.649,0
252.2432432,54964.18408,2.056335827,0.868,0.649,0
252.2432432,54964.18408,2.056335827,0.868,0.649,0
252.2432432,54964.18408,2.056335827,0.868,0.649,0
247.3684211,54640.39058,2.05696323,0.866,0.658,0
247.3684211,54640.39058,2.05696323,0.866,0.658,0
247.3684211,54640.39058,2.05696323,0.866,0.658,0
247.3684211,54640.39058,2.05696323,0.866,0.658,0
247.3684211,54640.39058,2.05696323,0.866,0.658,0
247.3684211,54640.39058,2.05696323,0.866,0.658,0
247.3684211,54640.39058,2.05696323,0.866,0.658,0
247.3684211,54640.39058,2.05696323,0.866,0.658,0
247.3684211,54640.39058,2.05696323,0.866,0.658,0
247.3684211,54640.39058,2.05696323,0.866,0.658,0
247.3684211,54640.39058,2.05696323,0.866,0.658,0
247.3684211,54640.39058,2.05696323,0.866,0.658,0
247.3684211,54640.39058,2.05696323,0.866,0.658,0
255.7567568,55130.45435,2.042147881,0.865,0.676,0
255.7567568,55130.45435,2.042147881,0.865,0.676,0
255.7567568,55130.45435,2.042147881,0.865,0.676,0
255.7567568,55130.45435,2.042147881,0.865,0.676,0
255.7567568,55130.45435,2.042147881,0.865,0.676,0
255.7567568,55130.45435,2.042147881,0.865,0.676,0
255.7567568,55130.45435,2.042147881,0.865,0.676,0
255.7567568,55130.45435,2.042147881,0.865,0.676,0
255.7567568,55130.45435,2.042147881,0.865,0.676,0
255.7567568,55130.45435,2.042147881,0.865,0.676,0
255.7567568,55130.45435,2.042147881,0.865,0.676,0
255.7567568,55130.45435,2.042147881,0.865,0.676,0
255.7567568,55130.45435,2.042147881,0.865,0.676,0
255.7567568,55130.45435,2.042147881,0.865,0.676,0
253.8108108,55072.04529,2.080428247,0.863,0.649,0
253.8108108,55072.04529,2.080428247,0.863,0.649,0
253.8108108,55072.04529,2.080428247,0.863,0.649,0
253.8108108,55072.04529,2.080428247,0.863,0.649,0
253.8108108,55072.04529,2.080428247,0.863,0.649,0
253.8108108,55072.04529,2.080428247,0.863,0.649,0
253.8108108,55072.04529,2.080428247,0.863,0.649,0
253.8108108,55072.04529,2.080428247,0.863,0.649,0
253.8108108,55072.04529,2.080428247,0.863,0.649,0
253.8108108,55072.04529,2.080428247,0.863,0.649,0
253.8108108,55072.04529,2.080428247,0.863,0.649,0
253.8108108,55072.04529,2.080428247,0.863,0.649,0
253.8108108,55072.04529,2.080428247,0.863,0.649,0
253.2162162,55419.08839,2.063980242,0.865,0.649,0
253.2162162,55419.08839,2.063980242,0.865,0.649,0
253.2162162,55419.08839,2.063980242,0.865,0.649,0
253.2162162,55419.08839,2.063980242,0.865,0.649,0
253.2162162,55419.08839,2.063980242,0.865,0.649,0
253.2162162,55419.08839,2.063980242,0.865,0.649,0
253.2162162,55419.08839,2.063980242,0.865,0.649,0
253.2162162,55419.08839,2.063980242,0.865,0.649,0
253.2162162,55419.08839,2.063980242,0.865,0.649,0
253.2162162,55419.08839,2.063980242,0.865,0.649,0
253.2162162,55419.08839,2.063980242,0.865,0.649,0
253.2162162,55419.08839,2.063980242,0.865,0.649,0
253.2162162,55419.08839,2.063980242,0.865,0.649,0
258.6388889,55506.73071,2.020628892,0.866,0.667,0
258.6388889,55506.73071,2.020628892,0.866,0.667,0
258.6388889,55506.73071,2.020628892,0.866,0.667,0
258.6388889,55506.73071,2.020628892,0.866,0.667,0
258.6388889,55506.73071,2.020628892,0.866,0.667,0
258.6388889,55506.73071,2.020628892,0.866,0.667,0
271.3571429,73318.65816,2.061573625,0.957,0.821,0
271.3571429,73318.65816,2.061573625,0.957,0.821,0
271.3571429,73318.65816,2.061573625,0.957,0.821,0
271.3571429,73318.65816,2.061573625,0.957,0.821,0
271.3571429,73318.65816,2.061573625,0.957,0.821,0
271.3571429,73318.65816,2.061573625,0.957,0.821,0
271.3571429,73318.65816,2.061573625,0.957,0.821,0
273.0714286,76067.56633,2.054279654,0.958,0.821,0
273.0714286,76067.56633,2.054279654,0.958,0.821,0
273.0714286,76067.56633,2.054279654,0.958,0.821,0
273.0714286,76067.56633,2.054279654,0.958,0.821,0
273.0714286,76067.56633,2.054279654,0.958,0.821,0
273.0714286,76067.56633,2.054279654,0.958,0.821,0
273.0714286,76067.56633,2.054279654,0.958,0.821,0
265.4137931,75294.3805,2.038915965,0.955,0.793,0
265.4137931,75294.3805,2.038915965,0.955,0.793,0
265.4137931,75294.3805,2.038915965,0.955,0.793,0
265.4137931,75294.3805,2.038915965,0.955,0.793,0
265.4137931,75294.3805,2.038915965,0.955,0.793,0
265.4137931,75294.3805,2.038915965,0.955,0.793,0
275.3571429,75601.80102,2.077100688,0.957,0.821,0
275.3571429,75601.80102,2.077100688,0.957,0.821,0
275.3571429,75601.80102,2.077100688,0.957,0.821,0
275.3571429,75601.80102,2.077100688,0.957,0.821,0
275.3571429,75601.80102,2.077100688,0.957,0.821,0
275.3571429,75601.80102,2.077100688,0.957,0.821,0
275.3571429,75601.80102,2.077100688,0.957,0.821,0
265.2068966,75091.47444,2.054825136,0.956,0.793,0
265.2068966,75091.47444,2.054825136,0.956,0.793,0
265.2068966,75091.47444,2.054825136,0.956,0.793,0
265.2068966,75091.47444,2.054825136,0.956,0.793,0
265.2068966,75091.47444,2.054825136,0.956,0.793,0
265.2068966,75091.47444,2.054825136,0.956,0.793,0
265.2068966,75091.47444,2.054825136,0.956,0.793,0
